Description,Price,Auction,Lot number,Condition,Damage,Mileage,Date of sale
Volvo C70 T5 2009 Black 2.5L 5 vin: YV1MC67229J077246,875,Copart,51235430,Run And Drive,Front End,138560 miles (Actual),27.10.2020
Volvo V60 Premier 2015 White 2.0L 4 vin: YV140MEB5F1206382,2600,Copart,51120200,Enhanced Vehicles,Mechanical,61503 miles (Actual),27.10.2020
Volvo Xc90 3.2 2008 White 3.2L 6 vin: YV4CZ982081422754,600,Copart,51094270,Run And Drive,Front End,161620 miles (Actual),27.10.2020
Volvo S40 2.4I 2008 White 2.4L 5 vin: YV1MS382982397320,325,Copart,50723880,Enhanced Vehicles,Undercarriage,166364 miles (Exempt),27.10.2020
Volvo Xc90 3.2 2008 Black 3.2L 6 vin: YV4CN982681448223,1100,Copart,50634500,Run And Drive,Water/Flood,119231 mile (Actual),27.10.2020
Volvo Xc90 T6 2017 Gold 2.0L 4 vin: YV4A22PK1H1177130,18000,Copart,50503830,Run And Drive,Side,22282 miles (Actual),26.10.2020
Volvo S60 T5 2014 Silver 2.5L 5 vin: YV1612FS1E1299084,1550,Copart,49199990,Unknown,Front End,0 miles (Not Actual),27.10.2020
Volvo V50 T5 2008 Blue 2.5L 5 vin: YV1MJ672082421042,1500,Copart,49013150,Run And Drive,Side,60929 miles (Actual),27.10.2020
Volvo S80 T6 2009 Gray 3.0L 6 vin: YV1AH992191105699,600,Copart,48807270,Run And Drive,Minor Dent/Scratches,278423 miles (Actual),26.10.2020
Volvo Xc60 T5 Premier 2016 Silver 2.0L 4 vin: YV440MDK9G2903618,8000,Copart,48780730,Run And Drive,Side,79010 miles (Actual),27.10.2020
Volvo Xc60 3.2 2013 Black 3.2L 6 vin: YV4952DZ4D2398379,1050,Copart,48355210,Run And Drive,Vandalism,131961 mile (Actual),27.10.2020
Volvo Xc90 R Design 2014 White 3.2L 6 vin: YV4952CT7E1689026,4550,Copart,48329430,Run And Drive,Front End,77601 mile (Actual),27.10.2020
Volvo Xc90 T6 Momentum 2019 Gray 2.0L 4 vin: YV4A22PK2K1444234,11200,Copart,47224330,Unknown,All Over,12053 miles (Actual),27.10.2020
Volvo Xc40 T5 Momentum 2019 White 2.0L 4 vin: YV4162UK2K2095708,15600,Copart,45367420,Run And Drive,Front End,16259 miles (Actual),27.10.2020
Volvo S60 T6 2013 Charcoal 3.0L 6 vin: YV1902FH2D1223280,3100,Copart,44300370,Enhanced Vehicles,Burn - Engine,0 miles (Not Actual),27.10.2020
Volvo C70 T5 2008 Blue 2.5L 5 vin: YV1MC67248J052122,1050,Copart,43556580,Engine Start Program,Front End,134695 miles (Exempt),27.10.2020
Volvo C30 T5 2011 Silver 2.5L 5 vin: YV1672MK3B2204323,2250,Copart,43390000,Run And Drive,Rear End,153625 miles (Actual),26.10.2020
Volvo V60 T5 Dynamic 2018 Silver 2.0L 4 vin: YV140MSL5J2402287,4800,Copart,43256400,Enhanced Vehicles,Front End,0 miles (Not Actual),26.10.2020
Volvo S60 T5 2014 White 2.5L 5 vin: YV1612FS2E2286841,2700,Copart,43094590,Run And Drive,Front End,98027 miles (Actual),27.10.2020
Volvo S60 T5 2013 Silver 2.5L vin: YV1612FS3D2181739,3000,IAAI,28381938,Run and Drive,Front and Rear,116867 miles (Actual),28.10.2020
Volvo S60 R-Design 2019 Red 2.0L vin: 7JRA22TM2KG002711,17100,IAAI,28813922,Run and Drive,Front End,16271 mile (Actual),27.10.2020
Volvo S60 2.5T 2008 Black 2.5L vin: YV1RS592482677310,300,IAAI,28813132,Run and Drive,Left Front,98840 miles (Not Required/Exempt),27.10.2020
Volvo Vn Vnl 2008 White vin: 4V4NC9TG78N492975,2525,IAAI,28762329,Unknown,Unknown,Odometer Not Required/Exempt miles (Actual),27.10.2020
Volvo V50 2.4L 2009 Gray 2.4L vin: YV1MW390X92472254,875,IAAI,28749800,Starts,Front End,130598 miles (Actual),27.10.2020
Volvo Xc90 I6 2008 Black 3.2L vin: YV4CZ982081455849,350,IAAI,28731073,Stationary,Front End,249307 miles (Actual),27.10.2020
Volvo Xc60 3.0T 2010 Silver 3.0L vin: YV4992DZ0A2124435,325,IAAI,28678829,Run and Drive,Front End,176099 miles (Actual),27.10.2020
Volvo Xc90 Momentum 2018 Silver 2.0L vin: YV4A22PKXJ1213712,12250,IAAI,28677647,Run and Drive,Biohazard,15370 miles (Actual),27.10.2020
Volvo Xc70 2008 Gray 3.2L vin: YV4BZ982481009120,475,IAAI,28673408,Run and Drive,Left Front,260183 miles (Actual),27.10.2020
Volvo Xc90 I6 2011 Black 3.2L vin: YV4952CZ1B1578844,1050,IAAI,28636247,Stationary,Unknown,165152 miles (Actual),27.10.2020
Volvo Xc90 2013 Blue 3.2L vin: YV4952CY6D1641320,3050,IAAI,28615120,Run and Drive,Left Front,98057 miles (Actual),27.10.2020
Volvo Xc90 2013 White 3.2L vin: YV4952CY5D1647853,3450,IAAI,28558075,Run and Drive,Front End,113746 miles (Actual),27.10.2020
Volvo S60 T5 2014 Silver 2.5L vin: YV1612FH5E1288626,2675,IAAI,28541056,Starts,Right Front,92643 miles (Actual),27.10.2020
Volvo S40 2.4L 2008 Blue 2.4L vin: YV1MS390382363693,550,IAAI,28536656,Run and Drive,Front End,160240 miles (Not Actual),27.10.2020
Volvo S60 2.5T 2009 White 2.5L vin: YV1RS592X92726382,1050,IAAI,28520869,Run and Drive,Rear,76192 miles (Not Required/Exempt),27.10.2020
Volvo Xc60 T6 2013 Gray 3.0L vin: YV4902DZ4D2440256,1625,IAAI,28513174,Starts,Right Front,129176 miles (Actual),27.10.2020
Volvo Xc60 3.0T 2010 Black 3.0L vin: YV4992DZ1A2021587,1725,IAAI,28492984,Run and Drive,Front End,126653 miles (Actual),27.10.2020
Volvo S60 T5 2013 Black 2.5L vin: YV1612FS9D2202982,2525,IAAI,28484385,Run and Drive,Front End,114969 miles (Actual),27.10.2020
Volvo V60 Premier 2017 Gray 2.0L vin: YV140MEK0H1333267,6725,IAAI,28472717,Run and Drive,Right Rear,70761 mile (Actual),27.10.2020
Volvo Xc60 3.2L 2012 Silver 3.2L vin: YV4952DL8C2343640,1500,IAAI,28466779,Run and Drive,Flood,145407 miles (Actual),27.10.2020
Volvo Xc90 2013 Silver 3.2L vin: YV4952CZ9D1633432,5975,IAAI,28453511,Starts,Right Side,61145 miles (Actual),27.10.2020
Volvo S80 3.0L Turbo 2011 Blue 3.0L vin: YV1902AH3B1148772,1475,IAAI,28412172,Stationary,Rear,111839 miles (Actual),27.10.2020
Volvo C70 2008 Silver 2.5L vin: YV1MC67268J053160,200,IAAI,28408198,Stationary,Mechanical,110857 miles (Not Required/Exempt),27.10.2020
Volvo Xc90 V8 2008 Gray 4.4L vin: YV4CZ852581474685,975,IAAI,28408153,Run and Drive,Front End,214471 mile (Actual),27.10.2020
Volvo Xc90 2013 Black 3.2L vin: YV4952CZ7D1636197,2600,IAAI,28379534,Run and Drive,Left Side,165631 mile (Actual),27.10.2020
Volvo Xc40 Inscription 2020 Brown 2.0L vin: YV4162UL0L2324039,20500,IAAI,28373571,Stationary,Suspension,1862 miles (Actual),27.10.2020
Volvo S60 Momentum 2020 Black 2.0L vin: 7JR102FK8LG066107,7875,IAAI,28289767,Stationary,Front End,826 miles (Actual),27.10.2020
Volvo Xc60 T5 Drive-E Platinum 2015 Brown 2.0L vin: YV440MDD7F2608212,3175,IAAI,28240288,Stationary,Biohazard,84365 miles (Actual),27.10.2020
Volvo Xc90 V8 2010 Beige 4.4L vin: YV4852CZ0A1540807,925,IAAI,28210813,Run and Drive,Front End,177047 miles (Not Required/Exempt),27.10.2020
Volvo Xc60 3.2 2014 White 3.2L vin: YV4952DL8E2506239,6650,IAAI,28031366,Starts,Left Side,119160 miles (Actual),27.10.2020
Volvo S60 T5 2013 Black 2.5L vin: YV1612FSXD2234243,2575,IAAI,28001425,Run and Drive,Front End,76450 miles (Actual),27.10.2020
Volvo Xc90 T6 2018 Black 2.0L vin: YV4A22PL3J1385475,25825,IAAI,27801199,Run and Drive,Rear,18220 miles (Actual),27.10.2020
Volvo C70 2008 Silver 2.5L vin: YV1MC67298J054660,700,IAAI,27776963,Run and Drive,Right Side,146985 miles (Not Required/Exempt),27.10.2020
Volvo S80 T6 2013 Black 3.0L vin: YV1902AH9D1171721,1700,IAAI,27707047,Stationary,Front and Rear,118823 miles (Actual),27.10.2020
Volvo Vn Vnl 2011 Red vin: 4V4NC9TGXBN532621,4700,IAAI,27510915,Unknown,All Over,1 mile (Not Actual),27.10.2020
Volvo Xc60 T6 2010 White 3.0L 6 vin: YV4992DZ6A2126965,825,Copart,60514779,Engine Start Program,Front End,105407 miles (Actual),26.10.2020
Volvo C30 T5 2008 Black 2.5L 5 vin: YV1MK672382068812,1200,Copart,52835010,Run And Drive,Top/Roof,106468 miles (Actual),26.10.2020
Volvo Xc90 T6 2016 White 2.0L 4 vin: YV4A22PK4G1016334,13600,Copart,52612760,Run And Drive,Front End,63699 miles (Actual),26.10.2020
Volvo Xc40 T4 Momentum 2019 Black 2.0L 4 vin: YV4AC2HK8K2146549,10700,Copart,52560770,Enhanced Vehicles,Front End,27583 miles (Actual),26.10.2020
Volvo S60 2.5T 2008 Blue 2.5L 5 vin: YV1RH592382696252,1050,Copart,52334410,Run And Drive,Normal Wear,97024 miles (Actual),26.10.2020
Volvo Xc90 V8 2008 White 4.4L 8 vin: YV4CZ852281478872,1250,Copart,52170230,Enhanced Vehicles,Biohazard/Chemical,0 miles (Not Actual),26.10.2020
Volvo S60 2.5T 2008 Green 2.5L 5 vin: YV1RS592282700910,300,Copart,51889870,Run And Drive,Front End,203749 miles (Actual),23.10.2020
Volvo S60 T6 Momentum 2020 Black 2.0L 4 vin: 7JRA22TK4LG063350,30000,Copart,51814330,Run And Drive,Side,14550 miles (Actual),21.10.2020
Volvo Vn Vnm 2008 Red 6 vin: 4V4M19EH18N478335,1800,Copart,51249290,Run And Drive,Burn,814941 mile (Exempt),23.10.2020
Volvo Vn Vnl 2019 White 12.8L 6 vin: 4V4NC9EG6KN218560,6900,Copart,50869349,Enhanced Vehicles,Rollover,59441 mile (Actual),26.10.2020
Volvo Xc90 3.2 2008 Blue 3.2L 6 vin: YV4CZ982781422427,800,Copart,50638240,Engine Start Program,Side,166799 miles (Exempt),26.10.2020
Volvo S60 Premier 2015 White 2.0L 4 vin: YV140MFB3F1318614,5400,Copart,50498790,Run And Drive,Side,33836 miles (Actual),26.10.2020
Volvo S80 3.2 2012 Black 3.2L 6 vin: YV1940AS2C1159638,750,Copart,50412640,Enhanced Vehicles,Front End,84875 miles (Actual),26.10.2020
Volvo Xc70 2008 Gray 3.2L 6 vin: YV4BZ982681036013,575,Copart,50301680,Run And Drive,Front End,159767 miles (Actual),26.10.2020
Volvo S60 T5 2013 White 2.5L 5 vin: YV1612FH3D2206482,1750,Copart,50252650,Enhanced Vehicles,Front End,103529 miles (Actual),26.10.2020
Volvo C30 T5 2011 Black 2.5L 5 vin: YV1672MK5B2206882,925,Copart,49572720,Enhanced Vehicles,Front End,102425 miles (Actual),26.10.2020
Volvo Xc40 T5 R-Design 2020 White 2.0L 4 vin: YV4162UM7L2275625,18400,Copart,49544160,Engine Start Program,Rear End,2265 miles (Actual),26.10.2020
Volvo S60 T5 2014 Black 2.5L 5 vin: YV1612FH0E2296921,3950,Copart,49200240,Run And Drive,Front End,73698 miles (Actual),26.10.2020
Volvo Xc70 T6 2009 Black 3.0L 6 vin: YV4BZ992491064876,2000,Copart,49188410,Run And Drive,Side,156456 miles (Actual),26.10.2020
Volvo S60 T5 2013 Charcoal 2.5L 5 vin: YV1612FS3D2209748,3050,Copart,49166380,Run And Drive,Top/Roof,84774 miles (Actual),26.10.2020
Volvo S40 2.4I 2010 Silver 2.4L 5 vin: YV1382MS0A2508854,275,Copart,48206700,Enhanced Vehicles,Side,141839 miles (Actual),26.10.2020
Volvo Xc60 3.2 2010 Black 3.2L 6 vin: YV4982DZ1A2125080,525,Copart,47727390,Run And Drive,Front End,178471 mile (Exempt),23.10.2020
Volvo S60 T5 2014 White 2.5L 5 vin: YV1612FSXE1296202,2100,Copart,47364000,Enhanced Vehicles,Front End,118855 miles (Actual),26.10.2020
Volvo Xc90 3.2 2010 Black 3.2L 6 vin: YV4982CY1A1561491,1550,Copart,46841630,Run And Drive,Front End,99203 miles (Exempt),26.10.2020
Volvo C30 T5 2009 Blue 2.5L 5 vin: YV1MK672492130686,825,Copart,45565020,Enhanced Vehicles,Front End,142841 mile (Actual),23.10.2020
Volvo Xc60 T5 2015 White 2.5L 5 vin: YV4612RJ9F2709163,6400,Copart,45198970,Run And Drive,Front End,104650 miles (Actual),26.10.2020
Volvo S60 T5 2012 White 2.4L 5 vin: YV1622FS6C2146091,2100,Copart,44151460,Run And Drive,Front End,63264 miles (Actual),26.10.2020
Volvo Xc90 T6 2016 Black 2.0L 4 vin: YV4A22PK5G1065297,17600,Copart,43363210,Run And Drive,Front End,41742 miles (Actual),26.10.2020
Volvo S60 T6 2011 White 3.0L 6 vin: YV1902FH6B2000733,600,Copart,39727480,Enhanced Vehicles,All Over,110410 miles (Actual),26.10.2020
Volvo S60 T5 2013 Gray 2.5L vin: YV1612FS4D2230947,1225,IAAI,28803528,Run and Drive,Mechanical,127396 miles (Actual),26.10.2020
Volvo S60 T5 2014 Blue 2.5L vin: YV1612FS1E1282186,2750,IAAI,28777126,Stationary,Unknown,116087 miles (Actual),26.10.2020
Volvo S60 T6 2012 Blue 3.0L vin: YV1902FH6C2079418,1400,IAAI,28760290,Run and Drive,Undercarriage,173319 miles (Actual),26.10.2020
Volvo C70 T5 2012 Blue 2.5L vin: YV1672MC6CJ123865,2200,IAAI,28706352,Stationary,Unknown,54552 miles (Actual),26.10.2020
Volvo S80 3.2L 2008 Gray 3.2L vin: YV1AS982081073166,1150,IAAI,28651101,Run and Drive,Repossession,126223 miles (Not Required/Exempt),26.10.2020
Volvo Xc70 3.0T 2009 Blue 3.0L vin: YV4BZ992591054759,425,IAAI,28650345,Run and Drive,Front End,169962 miles (Actual),26.10.2020
Volvo S60 2.5T 2008 Black 2.5L vin: YV1RS592X82687775,200,IAAI,28625860,Stationary,Repossession,1 mile (Inoperable Digital Dash),26.10.2020
Volvo Vhd 2016 White vin: 4V5KC9DG3GN958820,16275,IAAI,28539848,Unknown,Front End,0 miles (Not Required/Exempt),26.10.2020
Volvo S60 T6 2012 Gray 3.0L vin: YV1902FH3C2089663,3175,IAAI,28519784,Run and Drive,Right Rear,50473 miles (Actual),26.10.2020
Volvo Xc90 2014 Gray 3.2L vin: YV4952CZ9E1690330,4550,IAAI,28508520,Starts,Left Rear,44917 miles (Actual),26.10.2020
Volvo Xc70 3.0T 2010 Black 3.0L vin: YV4992BZ9A1077737,1275,IAAI,28483091,Stationary,Flood,144789 miles (Not Actual),26.10.2020
Volvo V60 Dynamic 2018 Red 2.0L vin: YV140MEL0J2378623,7525,IAAI,28446245,Run and Drive,Rear,14422 miles (Actual),26.10.2020
Volvo S60 T5 2013 Silver 2.5L vin: YV1612FS3D2181739,1600,IAAI,28381938,Run and Drive,Front and Rear,116867 miles (Actual),26.10.2020
Volvo S60 T5 2012 Black 2.5L vin: YV1622FS9C2046311,2200,IAAI,28350762,Run and Drive,Front End,115443 miles (Actual),26.10.2020
Volvo Xc90 I6 2009 Green 3.2L vin: YV4CZ982091508986,625,IAAI,28315754,Stationary,Repossession,162000 miles (Not Actual),26.10.2020
Volvo Xc60 Momentum 2019 Black 2.0L vin: LYV102RK7KB184735,14450,IAAI,28308220,Stationary,All Over,28508 miles (Actual),26.10.2020
Volvo S90 Momentum 2018 Black 2.0L vin: LVY982AK1JP006161,14700,IAAI,28286710,Stationary,Rear,22807 miles (Actual),26.10.2020
Volvo Xc90 I6 2008 Black 3.2L vin: YV4CZ982581478141,775,IAAI,28282652,Stationary,Left Side,Odometer Not Required/Exempt miles (Actual),26.10.2020
Volvo Vn Vnl 2016 White vin: 4V4NC9EH2GN959224,7525,IAAI,28255730,Unknown,All Over,10 miles (Not Actual),26.10.2020
Volvo C70 T5 2013 Black 2.5L vin: YV1672MC1DJ137870,3050,IAAI,28202065,Run and Drive,Hail,101569 miles (Actual),26.10.2020
Volvo Xc60 T6/Premier 2015 Dark Blue 3.0L vin: YV4902RK7F2663535,9000,IAAI,27626824,Run and Drive,Front End,84021 mile (Actual),26.10.2020
Volvo S60 T5 2012 Black 2.5L vin: YV1622FS9C2141368,1350,IAAI,28692863,Stationary,Front End,169792 miles (Actual),26.10.2020
Volvo S40 2010 Blue 2.4L vin: YV1390MS8A2489861,900,IAAI,28426395,Stationary,Rear,96281 mile (Actual),25.10.2020
Volvo Xc90 3.2 2010 White 3.2L 6 vin: YV4982CY5A1544256,1000,Copart,49636080,Run And Drive,Front End,133085 miles (Exempt),24.10.2020
Volvo V70 3.2 2008 Green 3.2L 6 vin: YV1BW982681046921,500,Copart,49312580,Run And Drive,Front End,167074 miles (Actual),24.10.2020
Volvo S60 T5 2012 Black 2.5L vin: YV1622FS4C2038214,1350,IAAI,28461641,Run and Drive,Right Front,163090 miles (Actual),24.10.2020
Volvo Xc90 T6 Momentum 2016 Gray 2.0L vin: YV4A22PK8G1041740,15575,IAAI,28161837,Starts,Right Side,69548 miles (Actual),24.10.2020
Volvo Xc60 T6 2015 Red 3.0L 6 vin: YV4902RS1F2739511,10000,Copart,55221518,Run And Drive,Rear End,50531 mile (Not Actual),23.10.2020
Volvo Xc90 3.2 2009 Black 3.2L 6 vin: YV4CZ982691506160,1350,Copart,52070500,Run And Drive,Side,160433 miles (Actual),23.10.2020
Volvo Xc90 3.2 2013 Black 3.2L 6 vin: YV4952CZ0D1665024,3700,Copart,51982420,Run And Drive,Rear End,106526 miles (Actual),23.10.2020
Volvo S60 T5 2012 Black 2.4L 5 vin: YV1622FS6C2087432,3550,Copart,50857630,Run And Drive,Side,81717 miles (Actual),23.10.2020
Volvo C70 T5 2011 Maroon 2.5L 5 vin: YV1672MC4BJ107047,400,Copart,50233630,Engine Start Program,Front End,206073 miles (Actual),23.10.2020
Volvo Xc60 3.2 Premier 2015 Beige 3.2L 6 vin: YV4940RB4F2613278,5700,Copart,49889500,Run And Drive,Front End,108604 miles (Actual),22.10.2020
Volvo Xc70 2008 Gold 3.2L 6 vin: YV4BZ982381005608,2100,Copart,49681960,Run And Drive,Side,212252 miles (Actual),22.10.2020
Volvo Xc60 T5 Inscription 2020 Black 2.0L 4 vin: YV4102RL5L1560542,28000,Copart,49631240,Run And Drive,Front End,2368 miles (Actual),23.10.2020
Volvo S60 T5 2012 Black 2.4L 5 vin: YV1622FS6C2050199,1250,Copart,49372620,Enhanced Vehicles,Side,148802 miles (Actual),23.10.2020
Volvo Xc60 T6 2010 Silver 3.0L 6 vin: YV4992DZ8A2022767,2300,Copart,49336760,Run And Drive,Minor Dent/Scratches,149712 miles (Actual),23.10.2020
Volvo Xc90 3.2 2008 White 3.2L 6 vin: YV4CY982781428666,1000,Copart,49293780,Run And Drive,Rear End,126517 miles (Exempt),23.10.2020
Volvo S60 T5 2014 Gray 2.5L 5 vin: YV1612FS2E1290071,4450,Copart,49037930,Run And Drive,Front End,83798 miles (Actual),23.10.2020
Volvo Xc40 T5 Momentum 2019 Silver 2.0L 4 vin: YV4162UK3K2070185,16200,Copart,48948060,Engine Start Program,Side,30411 miles (Actual),23.10.2020
Volvo Xc90 T6 Inscription 2019 Blue 2.0L 4 vin: YV4A22PL2K1482541,26500,Copart,48134150,Enhanced Vehicles,Front End,12188 miles (Actual),23.10.2020
Volvo Xc90 3.2 2010 White 3.2L 6 vin: YV4982CY4A1535337,1150,Copart,48017620,Run And Drive,Frame Damage,177503 miles (Exempt),23.10.2020
Volvo S60 T5 2012 Red 2.4L 5 vin: YV1622FS0C2113474,575,Copart,47384940,Enhanced Vehicles,Front End,113408 miles (Actual),23.10.2020
Volvo Xc90 3.2 2010 Black 3.2L 6 vin: YV4982CZ5A1532813,2100,Copart,47318320,Run And Drive,Front End,103278 miles (Exempt),23.10.2020
Volvo S80 T6 2010 Blue 3.0L 6 vin: YV1992AH7A1115214,1100,Copart,46533070,Run And Drive,Front End,140626 miles (Exempt),23.10.2020
Volvo Xc60 T5 2015 Tan 2.5L 5 vin: YV4612RJ6F2689356,3550,Copart,45473190,Run And Drive,Front End,117361 mile (Actual),23.10.2020
Volvo V60 Polestar 2017 Black 2.0L 4 vin: YV1A0MSW2H1346452,7600,Copart,45430140,Enhanced Vehicles,Front End,0 miles (Not Actual),23.10.2020
Volvo S60 T5 2014 Black 2.5L 5 vin: YV1612FS3E1296199,2500,Copart,42425080,Run And Drive,Front End,97351 mile (Actual),23.10.2020
Volvo Xc70 2008 Brown 3.2L 6 vin: YV4BZ982281036459,775,Copart,42402160,Run And Drive,Front End,172801 mile (Actual),23.10.2020
Volvo Xc60 T6 Premier 2016 Blue 3.0L 6 vin: YV4902RK6G2820554,11900,Copart,38943940,Run And Drive,Rear End,60297 miles (Actual),23.10.2020
Volvo Vn Vnl 2016 Black vin: 4V4NC9EH1GN929213,8650,IAAI,28710528,Unknown,Rollover,510898 miles (Not Required/Exempt),24.10.2020
Volvo S60 T5 2013 White 2.5L vin: YV1612FS9D2170745,2200,IAAI,28630792,Stationary,Mechanical,128855 miles (Actual),24.10.2020
Volvo Vn 2016 Unknown vin: 4V4NC9EJ8GN961126,2125,IAAI,28200159,Unknown,Front End,Odometer Not Required/Exempt miles (Actual),24.10.2020
Volvo Xc90 I6 2008 Gray 3.2L vin: YV4CZ982181472563,750,IAAI,28734507,Run and Drive,Front End,190982 miles (Actual),23.10.2020
Volvo S60 2.5T 2009 Silver 2.5L vin: YV1RS592892728311,300,IAAI,28656437,Stationary,Engine Damage,178648 miles (Not Required/Exempt),23.10.2020
Volvo S40 2.4L 2008 Silver 2.4L vin: YV1MS390482372628,500,IAAI,28639399,Stationary,Undercarriage,171721 mile (Actual),23.10.2020
Volvo C30 Version 1.0 2008 White 2.5L vin: YV1MK672382050603,2225,IAAI,28603740,Run and Drive,Flood,115881 mile (Not Required/Exempt),23.10.2020
Volvo Xc60 3.0T 2010 Black 3.0L vin: YV4992DZ9A2019442,2525,IAAI,28591462,Run and Drive,Left Front,166204 miles (Actual),23.10.2020
Volvo V60 T5 Premier 2016 Black 2.5L vin: YV1612SK6G1308662,3175,IAAI,28541396,Stationary,Front End,76669 miles (Actual),23.10.2020
Volvo C70 2011 White 2.5L vin: YV1672MC5BJ109776,1050,IAAI,28503079,Run and Drive,Front and Rear,85784 miles (Actual),23.10.2020
Volvo S60 T5 2014 Blue 2.5L vin: YV1612FS9E1288768,2975,IAAI,28392752,Starts,Front End,137424 miles (Actual),23.10.2020
Volvo S60 2.5T 2008 Red 2.5L vin: YV1RS592382685561,425,IAAI,28378829,Run and Drive,Right Side,132507 miles (Not Required/Exempt),23.10.2020
Volvo S60 T5 2012 Blue 2.5L vin: YV1622FS1C2102984,1700,IAAI,28221383,Stationary,Suspension,129320 miles (Actual),23.10.2020
Volvo Xc90 Momentum 2019 White 2.0L vin: YV4102PK2K1513672,25300,IAAI,28086408,Run and Drive,Front End,12512 miles (Actual),23.10.2020
Volvo C30 T5 2010 Red 2.5L vin: YV1672MK7A2173530,1325,IAAI,27795788,Run and Drive,Left Rear,140207 miles (Actual),23.10.2020
Volvo S60 T5 2013 Black 2.5L vin: YV1612FS0D2185585,1175,IAAI,27677362,Starts,Front End,83402 miles (Actual),23.10.2020
Volvo Xc40 Momentum 2019 Gray 2.0L vin: YV4162UK4K2128661,12300,IAAI,27477840,Stationary,Front End,4913 miles (Actual),23.10.2020
Volvo Xc60 T6 2010 Blue 3.0L vin: YV4992DZ4A2080276,2000,IAAI,26896588,Run and Drive,Front End,177886 miles (Actual),23.10.2020
Volvo Vn 2013 Unknown vin: 4V4NC9EH0DN136433,3850,IAAI,27578957,Unknown,Front End,Odometer Not Required/Exempt miles (Actual),23.10.2020
Volvo S40 2.4I 2008 Blue 2.4L 5 vin: YV1MS390782382957,525,Copart,53340810,Run And Drive,Mechanical,117688 miles (Actual),22.10.2020
Volvo S60 2017 Silver 2.0L 4 vin: YV126MFLXH2435134,5700,Copart,52318760,Run And Drive,Front End,71516 miles (Actual),22.10.2020
Volvo S60 T5 2012 Black 2.4L 5 vin: YV1622FS2C2100497,1350,Copart,51963710,Run And Drive,Rear End,169489 miles (Actual),22.10.2020
Volvo Xc90 3.2 2009 Gray 3.2L 6 vin: YV4CZ982X91510499,1350,Copart,51625080,Run And Drive,Damage History,183007 miles (Exempt),22.10.2020
Volvo Vn Vnl 2015 White 12.8L 6 vin: 4V4NC9EH4FN915269,1150,Copart,51082130,Enhanced Vehicles,All Over,0 miles (Not Actual),22.10.2020
Volvo S60 Dynamic 2017 Black 2.0L 4 vin: YV140MTL7H2429242,7200,Copart,50846200,Run And Drive,Rear End,41227 miles (Actual),22.10.2020
Volvo S60 2015 White 2.0L 4 vin: YV140MFJ7F1362090,3000,Copart,49708550,Enhanced Vehicles,Minor Dent/Scratches,141715 miles (Actual),22.10.2020
Volvo Xc90 T5 Momentum 2020 White 2.0L 4 vin: YV4102PK6L1547938,16200,Copart,49631040,Enhanced Vehicles,Front End,0 miles (Not Actual),22.10.2020
Volvo Xc90 3.2 2008 Gray 3.2L 6 vin: YV4CZ982481439976,1300,Copart,48910440,Run And Drive,Side,146150 miles (Exempt),22.10.2020
Volvo Xc90 3.2 2011 Gray 3.2L 6 vin: YV4952CZXB1594654,1050,Copart,48539210,Enhanced Vehicles,Front End,78303 miles (Actual),22.10.2020
Volvo Xc60 T5 Inscription 2017 Gray 2.0L 4 vin: YV440MDU5H2102879,5900,Copart,47853890,Unknown,Front End,45421 mile (Actual),22.10.2020
Volvo Xc90 T6 R-Design 2019 Silver 2.0L 4 vin: YV4A22PM1K1494625,22100,Copart,47526700,Enhanced Vehicles,Front End,0 miles (Not Actual),21.10.2020
Volvo Xc90 V8 2008 Silver 4.4L 8 vin: YV4CZ852981436103,2300,Copart,46747050,Run And Drive,Minor Dent/Scratches,81702 miles (Actual),22.10.2020
Volvo V60 Premier 2015 Black 2.5L 5 vin: YV1612SBXF1192381,3550,Copart,45746510,Enhanced Vehicles,All Over,61152 miles (Actual),22.10.2020
Volvo S80 T6 2009 Tan 3.0L 6 vin: YV1AH992291087892,2150,Copart,45542790,Run And Drive,Rear End,68630 miles (Actual),22.10.2020
Volvo S90 T5 Momentum 2018 Beige 2.0L 4 vin: LVY982AK0JP032007,13900,Copart,44328220,Run And Drive,Rear End,28040 miles (Actual),22.10.2020
Volvo Xc60 T5 Premier 2016 Gray 2.5L 5 vin: YV4612RK8G2864149,7900,Copart,44197320,Enhanced Vehicles,Front End,69625 miles (Actual),22.10.2020
Volvo S60 T5 2012 White 2.4L 5 vin: YV1622FS9C2107723,2400,Copart,44046710,Run And Drive,Front End,89512 miles (Actual),21.10.2020
Volvo S90 T6 Inscription 2018 Gray 2.0L 4 vin: LVY992ML0JP034812,14200,Copart,42979120,Run And Drive,Front End,29157 miles (Actual),22.10.2020
Volvo Xc70 T5 Platinum 2016 Gray 2.0L 4 vin: YV440MBM7G1248627,2700,Copart,42024710,Enhanced Vehicles,Burn,0 miles (Not Actual),22.10.2020
Volvo Xc90 T6 2016 Brown 2.0L 4 vin: YV4A22PKXG1084959,21800,Copart,41681040,Run And Drive,Rear End,48130 miles (Actual),22.10.2020
Volvo V60 Premier 2015 Silver 2.0L 4 vin: YV140MEK8F1251185,1200,Copart,31499270,Engine Start Program,Rollover,72412 miles (Actual),22.10.2020
Volvo S40 2011 Blue 2.5L vin: YV1672MS6B2539981,575,IAAI,28731919,Stationary,Unknown,193680 miles (Actual),22.10.2020
